,book_id,title,cluster
0,01,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE. VOL. VI,4
1,02,THE HISTORIES CAIUS COBNELIUS TACITUS,1
2,03,"THE WORK OF JOSEPH US, THE JEWISH WAR. VOL. IV",2
3,04,"THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE. VOL, I",1
4,05,THE HISTORY OF TACITUS. BOOK I. VOL. V,1
5,06,THE FIRST AND THIRTY-THIRD BOOKS OF PLINY'S NATURAL HISTORY,1
6,07,THE HISTORY OF THE ROMAN EMPIRE. VOL. V,4
7,08,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE. VOL. II,4
8,09,THE HISTORY OF THE PELOPONNESIAN WAR. VOL. II,0
9,10,TITUS LIVIUS' ROMAN,3
10,11,"THE HISTORY OF ROME,  BY TITUS LIVIUS. VOL. I",3
11,12,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE. VOL. IV,4
12,13,DICTIONARY GREEK AND ROMAN GEOGRAPHY. VOL. II,1
13,14,THE LEARNED AND AUTHENTIC JEWISH HISTORIAN AND CELEBRATED WARRIOR. VOL. III,2
14,15,LIVY. VOL. III,3
15,16,LIVY. VOL. V,3
16,17,THE HISTORICAL ANNALS OF CORNELIUS TACITUS. VOL. I,1
17,18,THE HISTORY OF THE PELOPONNESIAN WAR. VOL. I,0
18,19,"THE LEARNED AND AUTHENTIC JEWISH HISTORIAN,  AND CELEBRATED WARRIOR. VOL. IV",2
19,20,THE DESCRIPTION OF GREECE,0
20,21,THE HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE. VOL. III,4
21,22,TTHE HISTORY OF ROME. VOL. III,3
22,23,HE HISTORY OF TACITUS. BOOK I. VOL. IV,1
23,24,THE FLAVIUS JOSEPHU,2
